what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1341278222737
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1341278228837
started,bundle,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.ui",1341278234375
started,bundle,org.eclipse.wst.xml.ui,1.1.103.v201101122108,"org.eclipse.wst.xml.ui",1341278234936
started,bundle,org.eclipse.wst.common.uriresolver,1.1.401.v201004280700,"org.eclipse.wst.common.uriresolver",1341278235326
started,bundle,org.eclipse.wst.css.core,1.1.402.v201102031915,"org.eclipse.wst.css.core",1341278235420
started,bundle,org.eclipse.jst.jsf.facelet.ui,1.0.0.v20100602,"org.eclipse.jst.jsf.facelet.ui",1341278235888
started,bundle,org.eclipse.jst.jsf.ui,1.3.1.v20100906,"org.eclipse.jst.jsf.ui",1341278235903
started,bundle,org.eclipse.wst.jsdt.web.ui,1.0.304.v201012160349,"org.eclipse.wst.jsdt.web.ui",1341278235935
started,bundle,org.eclipse.wst.css.ui,1.0.502.v201101122002,"org.eclipse.wst.css.ui",1341278236153
started,bundle,org.eclipse.wst.dtd.ui,1.0.500.v201004290328,"org.eclipse.wst.dtd.ui",1341278236293
started,bundle,org.eclipse.wst.jsdt.web.core,1.0.304.v201102160550,"org.eclipse.wst.jsdt.web.core",1341278236356
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1341278237822
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1341278249990
started,bundle,org.eclipse.wst.jsdt.web.support.jsp,1.0.303.v201012160047,"org.eclipse.wst.jsdt.web.support.jsp",1341278251238
opened,editor,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.core.jspsource.source",1341278253204
activated,editor,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.core.jspsource.source",1341278253656
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1341278277304
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1341278277397
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1341278280330
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1341278375654
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1341278379591
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1341278384521
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1341278406181
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1341278419862
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1341278428662
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1341278434103
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1341278461439
started,bundle,org.eclipse.ltk.core.refactoring,3.5.101.r362_v20101117-0800,"org.eclipse.ltk.core.refactoring",1341278466105
activated,editor,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.core.jspsource.source",1341278471734
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1341278484031
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1341278511354
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1341278511401
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1341278523606
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1341278525880
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1341278538621
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1341278556960
opened,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1341278557388
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1341278557583
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1341278565796
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1341278593048
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1341278594770
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1341278609177
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1341278612177
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1341278636997
activated,editor,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.core.jspsource.source",1341278637214
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1341278638344
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1341278661228
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1341278662182
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1341278663284
