127.0.0.1 - - [02/Jul/2012:20:16:21 -0500] "GET / HTTP/1.1" 404 965
0:0:0:0:0:0:0:1 - - [02/Jul/2012:20:21:41 -0500] "GET /registrarPrestamo.jsp HTTP/1.1" 404 1028
0:0:0:0:0:0:0:1 - - [02/Jul/2012:20:22:25 -0500] "GET /jsp/registrarPrestamo.jsp HTTP/1.1" 404 1040
0:0:0:0:0:0:0:1 - - [02/Jul/2012:20:23:42 -0500] "GET /index.html HTTP/1.1" 404 995
0:0:0:0:0:0:0:1 - - [02/Jul/2012:20:25:44 -0500] "GET /videoteca/jsp/registrarPrestamo.jsp HTTP/1.1" 200 1497
0:0:0:0:0:0:0:1 - - [02/Jul/2012:20:25:44 -0500] "GET /videoteca/jsp/mustang.jpg HTTP/1.1" 404 1040
0:0:0:0:0:0:0:1 - - [02/Jul/2012:20:25:44 -0500] "GET /videoteca/jsp/mustang.jpg HTTP/1.1" 404 1040
0:0:0:0:0:0:0:1 - - [02/Jul/2012:20:26:02 -0500] "GET /index.html HTTP/1.1" 404 995
0:0:0:0:0:0:0:1 - - [02/Jul/2012:20:26:19 -0500] "GET /videoteca HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Jul/2012:20:26:19 -0500] "GET /videoteca/ HTTP/1.1" 200 264
0:0:0:0:0:0:0:1 - - [02/Jul/2012:20:28:25 -0500] "GET /videoteca/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2012:20:28:31 -0500] "GET /videoteca/jsp/registrarPrestamo.jsp HTTP/1.1" 200 1497
0:0:0:0:0:0:0:1 - - [02/Jul/2012:20:28:32 -0500] "GET /videoteca/jsp/mustang.jpg HTTP/1.1" 404 1040
0:0:0:0:0:0:0:1 - - [02/Jul/2012:20:28:32 -0500] "GET /videoteca/jsp/mustang.jpg HTTP/1.1" 404 1040
0:0:0:0:0:0:0:1 - - [02/Jul/2012:20:28:33 -0500] "GET /videoteca/jsp/registrarPrestamo.jsp HTTP/1.1" 200 1497
0:0:0:0:0:0:0:1 - - [02/Jul/2012:20:28:33 -0500] "GET /videoteca/jsp/mustang.jpg HTTP/1.1" 404 1040
0:0:0:0:0:0:0:1 - - [02/Jul/2012:20:28:33 -0500] "GET /videoteca/jsp/mustang.jpg HTTP/1.1" 404 1040
0:0:0:0:0:0:0:1 - - [02/Jul/2012:20:28:33 -0500] "GET /videoteca/jsp/registrarPrestamo.jsp HTTP/1.1" 200 1497
0:0:0:0:0:0:0:1 - - [02/Jul/2012:20:28:33 -0500] "GET /videoteca/jsp/mustang.jpg HTTP/1.1" 404 1040
0:0:0:0:0:0:0:1 - - [02/Jul/2012:20:28:33 -0500] "GET /videoteca/jsp/mustang.jpg HTTP/1.1" 404 1040
0:0:0:0:0:0:0:1 - - [02/Jul/2012:20:28:33 -0500] "GET /videoteca/jsp/registrarPrestamo.jsp HTTP/1.1" 200 1497
0:0:0:0:0:0:0:1 - - [02/Jul/2012:20:28:33 -0500] "GET /videoteca/jsp/mustang.jpg HTTP/1.1" 404 1040
0:0:0:0:0:0:0:1 - - [02/Jul/2012:20:28:33 -0500] "GET /videoteca/jsp/mustang.jpg HTTP/1.1" 404 1040
0:0:0:0:0:0:0:1 - - [02/Jul/2012:20:28:36 -0500] "GET /videoteca/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2012:20:28:36 -0500] "GET /videoteca/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2012:20:28:37 -0500] "GET /videoteca/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2012:20:28:37 -0500] "GET /videoteca/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2012:20:28:37 -0500] "GET /videoteca/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2012:20:29:27 -0500] "GET /videoteca/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2012:20:29:32 -0500] "GET /videoteca/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2012:20:29:33 -0500] "GET /videoteca/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2012:20:29:33 -0500] "GET /videoteca/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2012:20:30:17 -0500] "GET /videoteca/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2012:20:30:18 -0500] "GET /videoteca/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2012:20:30:18 -0500] "GET /videoteca/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2012:20:30:19 -0500] "GET /videoteca/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2012:20:30:19 -0500] "GET /videoteca/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2012:20:30:19 -0500] "GET /videoteca/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2012:20:30:19 -0500] "GET /videoteca/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2012:20:30:19 -0500] "GET /videoteca/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2012:20:30:19 -0500] "GET /videoteca/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2012:20:30:20 -0500] "GET /videoteca/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2012:20:30:20 -0500] "GET /videoteca/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2012:20:30:20 -0500] "GET /videoteca/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2012:20:30:20 -0500] "GET /videoteca/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2012:20:30:20 -0500] "GET /videoteca/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2012:20:30:20 -0500] "GET /videoteca/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2012:20:30:20 -0500] "GET /videoteca/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2012:20:30:21 -0500] "GET /videoteca/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2012:20:30:21 -0500] "GET /videoteca/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2012:20:30:21 -0500] "GET /videoteca/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2012:20:33:20 -0500] "GET /videoteca/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2012:20:33:26 -0500] "GET /videoteca HTTP/1.1" 302 -
